Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D0,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,11.400000,-29.500000,180.000000,top
D1,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,47.600000,-29.500000,180.000000,top
D2,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,65.700000,-29.500000,180.000000,top
D3,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,83.800000,-29.500000,180.000000,top
D4,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,101.850000,-29.500000,180.000000,top
D5,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,138.040000,-29.500000,180.000000,top
D6,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,156.100000,-29.500000,180.000000,top
D7,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,174.200000,-29.500000,180.000000,top
D8,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,192.300000,-29.500000,180.000000,top
D9,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,268.475000,-26.715000,180.000000,top
D10,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,281.075000,-26.715000,180.000000,top
D11,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,293.575000,-26.715000,180.000000,top
D12,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,306.175000,-26.715000,180.000000,top
D13,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,318.675000,-26.715000,180.000000,top
D14,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,331.275000,-26.715000,180.000000,top
D15,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,343.775000,-26.715000,180.000000,top
D16,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,11.375000,-25.415000,180.000000,top
D17,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,29.475000,-25.415000,180.000000,top
D18,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,47.575000,-25.415000,180.000000,top
D19,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,65.675000,-25.415000,180.000000,top
D20,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,83.775000,-25.415000,180.000000,top
D21,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,101.775000,-25.415000,180.000000,top
D22,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,119.875000,-25.415000,180.000000,top
D23,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,137.975000,-25.415000,180.000000,top
D24,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,156.075000,-25.415000,180.000000,top
D25,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,174.175000,-25.415000,180.000000,top
D26,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,192.275000,-25.415000,180.000000,top
D27,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,268.475000,-22.715000,180.000000,top
D28,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,281.075000,-22.715000,180.000000,top
D29,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,306.175000,-22.715000,180.000000,top
D30,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,318.675000,-22.715000,180.000000,top
D31,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,331.275000,-22.715000,180.000000,top
D32,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,343.775000,-22.715000,180.000000,top
D33,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,11.375000,-21.415000,180.000000,top
D34,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,47.575000,-21.415000,180.000000,top
D35,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,65.675000,-21.415000,180.000000,top
D36,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,83.775000,-21.415000,180.000000,top
D37,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,101.875000,-21.415000,180.000000,top
D38,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,119.875000,-21.415000,180.000000,top
D39,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,137.975000,-21.415000,180.000000,top
D40,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,156.075000,-21.415000,180.000000,top
D41,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,174.175000,-21.415000,180.000000,top
D42,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,192.275000,-21.415000,180.000000,top
D43,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,268.475000,-18.815000,180.000000,top
D44,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,281.075000,-18.815000,180.000000,top
D45,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,293.575000,-18.815000,180.000000,top
D47,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,318.675000,-18.815000,180.000000,top
D48,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,331.275000,-18.815000,180.000000,top
D49,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,343.775000,-18.815000,180.000000,top
D50,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,11.375000,-17.415000,180.000000,top
D51,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,47.575000,-17.415000,180.000000,top
D52,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,65.675000,-17.415000,180.000000,top
D53,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,83.775000,-17.415000,180.000000,top
D54,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,101.875000,-17.415000,180.000000,top
D55,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,119.875000,-17.415000,180.000000,top
D56,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,137.975000,-17.415000,180.000000,top
D57,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,156.075000,-17.415000,180.000000,top
D58,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,174.175000,-17.415000,180.000000,top
D59,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,192.275000,-17.415000,180.000000,top
D60,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,268.475000,-14.815000,180.000000,top
D61,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,281.075000,-14.815000,180.000000,top
D62,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,293.575000,-14.815000,180.000000,top
D63,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,306.175000,-14.815000,180.000000,top
D64,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,11.375000,-13.415000,180.000000,top
D65,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,29.475000,-13.415000,180.000000,top
D66,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,47.575000,-13.415000,180.000000,top
D67,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,65.675000,-13.415000,180.000000,top
D68,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,83.775000,-13.415000,180.000000,top
D69,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,101.875000,-13.415000,180.000000,top
D70,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,119.875000,-13.415000,180.000000,top
D71,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,137.975000,-13.415000,180.000000,top
D72,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,156.075000,-13.415000,180.000000,top
D73,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,174.175000,-13.415000,180.000000,top
D74,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,192.275000,-13.415000,180.000000,top
D75,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,268.475000,-10.915000,180.000000,top
D76,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,293.575000,-10.915000,180.000000,top
D77,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,331.275000,-10.915000,180.000000,top
D78,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,11.275000,-9.415000,180.000000,top
D79,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,29.475000,-9.415000,180.000000,top
D80,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,65.675000,-9.415000,180.000000,top
D81,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,119.875000,-9.415000,180.000000,top
D82,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,192.275000,-9.415000,180.000000,top
D83,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,268.550000,-7.000000,180.000000,top
D84,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,293.650000,-7.000000,180.000000,top
D85,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,306.200000,-7.000000,180.000000,top
D86,D,SOD-123+D_DO-35_SOD27_P7.62mm_Horizontal,318.750000,-7.000000,180.000000,top
