Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
G***,LOGO,AltDeliriumPatern,78.092000,-4.220000,0.000000,top
G***,LOGO,AltDelirium,316.242000,-108.620000,0.000000,top
LED1,SK6812MINI-E,MX_SK6812MINI-E_REV,8.800000,-42.100000,0.000000,top
LED2,SK6812MINI-E,MX_SK6812MINI-E_REV,46.900000,-42.100000,0.000000,top
LED3,SK6812MINI-E,MX_SK6812MINI-E_REV,65.950000,-42.100000,0.000000,top
LED4,SK6812MINI-E,MX_SK6812MINI-E_REV,85.000000,-42.100000,0.000000,top
LED5,SK6812MINI-E,MX_SK6812MINI-E_REV,104.050000,-42.100000,0.000000,top
LED6,SK6812MINI-E,MX_SK6812MINI-E_REV,132.625000,-42.100000,0.000000,top
LED7,SK6812MINI-E,MX_SK6812MINI-E_REV,151.675000,-42.100000,0.000000,top
LED8,SK6812MINI-E,MX_SK6812MINI-E_REV,170.725000,-42.100000,0.000000,top
LED9,SK6812MINI-E,MX_SK6812MINI-E_REV,189.775000,-42.100000,0.000000,top
LED10,SK6812MINI-E,MX_SK6812MINI-E_REV,218.350000,-42.100000,0.000000,top
LED11,SK6812MINI-E,MX_SK6812MINI-E_REV,237.400000,-42.100000,0.000000,top
LED12,SK6812MINI-E,MX_SK6812MINI-E_REV,256.450000,-42.100000,0.000000,top
LED13,SK6812MINI-E,MX_SK6812MINI-E_REV,275.500000,-42.100000,0.000000,top
LED14,SK6812MINI-E,MX_SK6812MINI-E_REV,299.312500,-42.100000,0.000000,top
LED15,SK6812MINI-E,MX_SK6812MINI-E_REV,318.362500,-42.100000,0.000000,top
LED16,SK6812MINI-E,MX_SK6812MINI-E_REV,337.412500,-42.100000,0.000000,top
LED17,SK6812MINI-E,MX_SK6812MINI-E_REV,8.800000,-70.675000,0.000000,top
LED18,SK6812MINI-E,MX_SK6812MINI-E_REV,27.850000,-70.675000,0.000000,top
LED19,SK6812MINI-E,MX_SK6812MINI-E_REV,46.900000,-70.675000,0.000000,top
LED20,SK6812MINI-E,MX_SK6812MINI-E_REV,65.950000,-70.675000,0.000000,top
LED21,SK6812MINI-E,MX_SK6812MINI-E_REV,85.000000,-70.675000,0.000000,top
LED22,SK6812MINI-E,MX_SK6812MINI-E_REV,104.050000,-70.675000,0.000000,top
LED23,SK6812MINI-E,MX_SK6812MINI-E_REV,123.100000,-70.675000,0.000000,top
LED24,SK6812MINI-E,MX_SK6812MINI-E_REV,142.150000,-70.675000,0.000000,top
LED25,SK6812MINI-E,MX_SK6812MINI-E_REV,161.200000,-70.675000,0.000000,top
LED26,SK6812MINI-E,MX_SK6812MINI-E_REV,180.250000,-70.675000,0.000000,top
LED27,SK6812MINI-E,MX_SK6812MINI-E_REV,199.300000,-70.675000,0.000000,top
LED28,SK6812MINI-E,MX_SK6812MINI-E_REV,218.350000,-70.675000,0.000000,top
LED29,SK6812MINI-E,MX_SK6812MINI-E_REV,237.400000,-70.675000,0.000000,top
LED30,SK6812MINI-E,MX_SK6812MINI-E_REV,265.975000,-70.675000,0.000000,top
LED31,SK6812MINI-E,MX_SK6812MINI-E_REV,299.312500,-70.675000,0.000000,top
LED32,SK6812MINI-E,MX_SK6812MINI-E_REV,318.362500,-70.675000,0.000000,top
LED33,SK6812MINI-E,MX_SK6812MINI-E_REV,337.412500,-70.675000,0.000000,top
LED34,SK6812MINI-E,MX_SK6812MINI-E_REV,13.562500,-89.725000,0.000000,top
LED35,SK6812MINI-E,MX_SK6812MINI-E_REV,37.375000,-89.725000,0.000000,top
LED36,SK6812MINI-E,MX_SK6812MINI-E_REV,56.425000,-89.725000,0.000000,top
LED37,SK6812MINI-E,MX_SK6812MINI-E_REV,75.475000,-89.725000,0.000000,top
LED38,SK6812MINI-E,MX_SK6812MINI-E_REV,94.525000,-89.725000,0.000000,top
LED39,SK6812MINI-E,MX_SK6812MINI-E_REV,113.575000,-89.725000,0.000000,top
LED40,SK6812MINI-E,MX_SK6812MINI-E_REV,132.625000,-89.725000,0.000000,top
LED41,SK6812MINI-E,MX_SK6812MINI-E_REV,151.675000,-89.725000,0.000000,top
LED42,SK6812MINI-E,MX_SK6812MINI-E_REV,170.725000,-89.725000,0.000000,top
LED43,SK6812MINI-E,MX_SK6812MINI-E_REV,189.775000,-89.725000,0.000000,top
LED44,SK6812MINI-E,MX_SK6812MINI-E_REV,208.825000,-89.725000,0.000000,top
LED45,SK6812MINI-E,MX_SK6812MINI-E_REV,227.875000,-89.725000,0.000000,top
LED46,SK6812MINI-E,MX_SK6812MINI-E_REV,246.925000,-89.725000,0.000000,top
LED47,SK6812MINI-E,MX_SK6812MINI-E_REV,273.100000,-99.250000,270.000000,top
LED48,SK6812MINI-E,MX_SK6812MINI-E_REV,299.312500,-89.725000,0.000000,top
LED49,SK6812MINI-E,MX_SK6812MINI-E_REV,318.362500,-89.725000,0.000000,top
LED50,SK6812MINI-E,MX_SK6812MINI-E_REV,337.412500,-89.725000,0.000000,top
LED51,SK6812MINI-E,MX_SK6812MINI-E_REV,15.943750,-108.775000,0.000000,top
LED52,SK6812MINI-E,MX_SK6812MINI-E_REV,42.137500,-108.775000,0.000000,top
LED53,SK6812MINI-E,MX_SK6812MINI-E_REV,61.187500,-108.775000,0.000000,top
