Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF 0603,C_0603_1608Metric,377.940000,-110.360000,-90.000000,bottom
C2,100nF 0603,C_0603_1608Metric,230.300000,-110.400000,-90.000000,bottom
C3,100nF 0603,C_0603_1608Metric,120.750000,-177.025000,-90.000000,bottom
C4,100nF 0603,C_0603_1608Metric,77.900000,-158.000000,-90.000000,bottom
C5,100nF 0603,C_0603_1608Metric,339.850000,-139.000000,-90.000000,bottom
C6,100nF 0603,C_0603_1608Metric,182.675000,-139.025000,-90.000000,bottom
C7,100nF 0603,C_0603_1608Metric,96.950000,-158.025000,-90.000000,bottom
C8,100nF 0603,C_0603_1608Metric,144.575000,-110.400000,-90.000000,bottom
C10,100nF 0603,C_0603_1608Metric,187.450000,-196.075000,-90.000000,bottom
C11,100nF 0603,C_0603_1608Metric,49.325000,-110.450000,-90.000000,bottom
C12,100nF 0603,C_0603_1608Metric,315.680000,-213.150000,-90.000000,bottom
C13,100nF 0603,C_0603_1608Metric,360.900000,-213.150000,-90.000000,bottom
C14,100nF 0603,C_0603_1608Metric,158.900000,-177.100000,-90.000000,bottom
C15,100nF 0603,C_0603_1608Metric,173.150000,-110.400000,-90.000000,bottom
C16,100nF 0603,C_0603_1608Metric,339.850000,-110.400000,-90.000000,bottom
C17,100nF 0603,C_0603_1608Metric,51.700000,-196.075000,-90.000000,bottom
C18,100nF 0603,C_0603_1608Metric,68.375000,-139.000000,-90.000000,bottom
C19,100nF 0603,C_0603_1608Metric,235.050000,-177.050000,-90.000000,bottom
C20,100nF 0603,C_0603_1608Metric,299.375000,-196.075000,-90.000000,bottom
C22,100nF 0603,C_0603_1608Metric,144.575000,-139.025000,-90.000000,bottom
C23,100nF 0603,C_0603_1608Metric,73.150000,-196.075000,-90.000000,bottom
C26,100nF 0603,C_0603_1608Metric,268.020000,-213.180000,-90.000000,bottom
C27,100nF 0603,C_0603_1608Metric,313.630000,-167.170000,-90.000000,bottom
C29,100nF 0603,C_0603_1608Metric,101.330000,-213.170000,-90.000000,bottom
C30,100nF 0603,C_0603_1608Metric,306.500000,-139.000000,-90.000000,bottom
C31,100nF 0603,C_0603_1608Metric,54.100000,-158.025000,-90.000000,bottom
C32,100nF 0603,C_0603_1608Metric,111.225000,-196.075000,-90.000000,bottom
C33,100nF 0603,C_0603_1608Metric,206.475000,-196.075000,-90.000000,bottom
C34,100nF 0603,C_0603_1608Metric,192.200000,-110.400000,-90.000000,bottom
C35,100nF 0603,C_0603_1608Metric,358.875000,-110.350000,-90.000000,bottom
C36,100nF 0603,C_0603_1608Metric,201.725000,-139.050000,-90.000000,bottom
C37,100nF 0603,C_0603_1608Metric,254.100000,-177.025000,-90.000000,bottom
C38,100nF 0603,C_0603_1608Metric,177.900000,-177.025000,-90.000000,bottom
C39,100nF 0603,C_0603_1608Metric,163.625000,-138.975000,-90.000000,bottom
C40,100nF 0603,C_0603_1608Metric,287.450000,-158.050000,-90.000000,bottom
C42,100nF 0603,C_0603_1608Metric,230.300000,-158.050000,-90.000000,bottom
C43,100nF 0603,C_0603_1608Metric,139.825000,-177.025000,-90.000000,bottom
C44,100nF 0603,C_0603_1608Metric,244.600000,-196.150000,-90.000000,bottom
C45,100nF 0603,C_0603_1608Metric,49.325000,-138.975000,-90.000000,bottom
C46,100nF 0603,C_0603_1608Metric,220.750000,-139.025000,-90.000000,bottom
C47,100nF 0603,C_0603_1608Metric,130.300000,-196.150000,-90.000000,bottom
C48,100nF 0603,C_0603_1608Metric,173.150000,-158.050000,-90.000000,bottom
C49,100nF 0603,C_0603_1608Metric,225.525000,-196.075000,-90.000000,bottom
C50,100nF 0603,C_0603_1608Metric,172.790000,-213.160000,-90.000000,bottom
C52,100nF 0603,C_0603_1608Metric,125.525000,-139.000000,-90.000000,bottom
C53,100nF 0603,C_0603_1608Metric,211.250000,-110.425000,-90.000000,bottom
C54,100nF 0603,C_0603_1608Metric,277.925000,-138.950000,-90.000000,bottom
C55,100nF 0603,C_0603_1608Metric,249.350000,-158.000000,-90.000000,bottom
C56,100nF 0603,C_0603_1608Metric,154.100000,-158.025000,-90.000000,bottom
C57,100nF 0603,C_0603_1608Metric,296.975000,-110.375000,-90.000000,bottom
C59,100nF 0603,C_0603_1608Metric,273.150000,-177.025000,-90.000000,bottom
C60,100nF 0603,C_0603_1608Metric,211.250000,-158.000000,-90.000000,bottom
C61,100nF 0603,C_0603_1608Metric,377.950000,-138.950000,-90.000000,bottom
C62,100nF 0603,C_0603_1608Metric,101.700000,-177.025000,-90.000000,bottom
C64,100nF 0603,C_0603_1608Metric,258.875000,-138.950000,-90.000000,bottom
C65,100nF 0603,C_0603_1608Metric,341.900000,-213.160000,-90.000000,bottom
C66,100nF 0603,C_0603_1608Metric,192.200000,-158.000000,-90.000000,bottom
C67,100nF 0603,C_0603_1608Metric,292.200000,-177.025000,-90.000000,bottom
C68,100nF 0603,C_0603_1608Metric,56.500000,-177.100000,-90.000000,bottom
C69,100nF 0603,C_0603_1608Metric,379.930000,-213.170000,-90.000000,bottom
C70,100nF 0603,C_0603_1608Metric,244.190000,-213.160000,-90.000000,bottom
