Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
K_0,KEYSW,MXOnly-1U-Hotswap,8.800000,-42.100000,0.000000,top
K_1,KEYSW,MXOnly-1U-Hotswap,46.900000,-42.100000,0.000000,top
K_2,KEYSW,MXOnly-1U-Hotswap,65.950000,-42.100000,0.000000,top
K_3,KEYSW,MXOnly-1U-Hotswap,85.000000,-42.100000,0.000000,top
K_4,KEYSW,MXOnly-1U-Hotswap,104.050000,-42.100000,0.000000,top
K_5,KEYSW,MXOnly-1U-Hotswap,132.625000,-42.100000,0.000000,top
K_6,KEYSW,MXOnly-1U-Hotswap,151.675000,-42.100000,0.000000,top
K_7,KEYSW,MXOnly-1U-Hotswap,170.725000,-42.100000,0.000000,top
K_8,KEYSW,MXOnly-1U-Hotswap,189.775000,-42.100000,0.000000,top
K_9,KEYSW,MXOnly-1U-Hotswap,218.350000,-42.100000,0.000000,top
K_10,KEYSW,MXOnly-1U-Hotswap,237.400000,-42.100000,0.000000,top
K_11,KEYSW,MXOnly-1U-Hotswap,256.450000,-42.100000,0.000000,top
K_12,KEYSW,MXOnly-1U-Hotswap,275.500000,-42.100000,0.000000,top
K_13,KEYSW,MXOnly-1U-Hotswap,299.312500,-42.100000,0.000000,top
K_14,KEYSW,MXOnly-1U-Hotswap,318.362500,-42.100000,0.000000,top
K_15,KEYSW,MXOnly-1U-Hotswap,337.412500,-42.100000,0.000000,top
K_16,KEYSW,MXOnly-1U-Hotswap,8.800000,-70.675000,0.000000,top
K_17,KEYSW,MXOnly-1U-Hotswap,27.850000,-70.675000,0.000000,top
K_18,KEYSW,MXOnly-1U-Hotswap,46.900000,-70.675000,0.000000,top
K_19,KEYSW,MXOnly-1U-Hotswap,65.950000,-70.675000,0.000000,top
K_20,KEYSW,MXOnly-1U-Hotswap,85.000000,-70.675000,0.000000,top
K_21,KEYSW,MXOnly-1U-Hotswap,104.050000,-70.675000,0.000000,top
K_22,KEYSW,MXOnly-1U-Hotswap,123.100000,-70.675000,0.000000,top
K_23,KEYSW,MXOnly-1U-Hotswap,142.150000,-70.675000,0.000000,top
K_24,KEYSW,MXOnly-1U-Hotswap,161.200000,-70.675000,0.000000,top
K_25,KEYSW,MXOnly-1U-Hotswap,180.250000,-70.675000,0.000000,top
K_26,KEYSW,MXOnly-1U-Hotswap,199.300000,-70.675000,0.000000,top
K_27,KEYSW,MXOnly-1U-Hotswap,218.350000,-70.675000,0.000000,top
K_28,KEYSW,MXOnly-1U-Hotswap,237.400000,-70.675000,0.000000,top
